"job_id","skill"
16876,python
18504,python
18833,python
18836,python
20027,python
22598,python
22710,python
22712,python
23012,python
23234,python
23563,python
23645,python
24758,python
25927,python
31534,python
60112,python
61243,python
61309,python
61345,python
61361,python
61871,python
62839,python
63402,python
64182,python
73009,python
73055,python
74800,python
74867,python
77264,python
79772,python
80007,python
84149,python
84547,python
84579,python
84635,python
85273,python
85282,python
86106,python
86115,python
86165,python
87352,python
87483,python
87752,python
87935,python
88161,python
88494,python
88682,python
88700,python
88907,python
89062,python
89087,python
89260,python
89328,python
89367,python
89410,python
89771,python
89871,python
90127,python
90155,python
90162,python
90236,python
90243,python
90300,python
90545,python
90708,python
91031,python
91048,python
91257,python
91266,python
91573,python
91760,python
91770,python
92236,python
92386,python
93085,python
93303,python
93355,python
93778,python
94078,python
95141,python
95180,python
95303,python
95463,python
96326,python
96433,python
96499,python
96510,python
96790,python
96794,python
96795,python
96897,python
97313,python
97423,python
98618,python
98858,python
99160,python
99179,python
99208,python
100208,python
100219,python
100493,python
100692,python
100941,python
101373,python
101381,python
101470,python
101715,python
101823,python
102003,python
103435,python
104067,python
104437,python
105070,python
325,python
530,python
1149,python
1510,python
2558,python
7944,python
8418,python
8727,python
9552,python
11642,python
11665,python
13558,python
14648,python
15271,python
17655,sql
18012,sql
18458,sql
18833,sql
18836,sql
19497,sql
20359,sql
21392,sql
21885,sql
22412,sql
22712,sql
24758,sql
25178,sql
30860,sql
31534,sql
35581,sql
61523,sql
61804,sql
61871,sql
73009,sql
73012,sql
73038,sql
73048,sql
73053,sql
73055,sql
73056,sql
73065,sql
73084,sql
73200,sql
73251,sql
74864,sql
74867,sql
74871,sql
77264,sql
78125,sql
79772,sql
80007,sql
84149,sql
84269,sql
85377,sql
86106,sql
86165,sql
86749,sql
87072,sql
87352,sql
87752,sql
88589,sql
89066,sql
89130,sql
89328,sql
89800,sql
89871,sql
90155,sql
90236,sql
90507,sql
90611,sql
90708,sql
90956,sql
90983,sql
91573,sql
91843,sql
92109,sql
92242,sql
92297,sql
92364,sql
92686,sql
93085,sql
93355,sql
93735,sql
93916,sql
94010,sql
96897,sql
97148,sql
98109,sql
98111,sql
98166,sql
98380,sql
98603,sql
98618,sql
99179,sql
99181,sql
100194,sql
100431,sql
100493,sql
100617,sql
100692,sql
101381,sql
101823,sql
101980,sql
102006,sql
103251,sql
103290,sql
103439,sql
104067,sql
104411,sql
104497,sql
104657,sql
900,sql
1149,sql
2935,sql
5065,sql
5268,sql
6968,sql
7944,sql
8250,sql
8727,sql
9552,sql
10658,sql
11665,sql
13495,sql
13500,sql
13928,sql
14346,sql
14648,sql
15271,sql
15453,sql
16711,excel
17350,excel
17614,excel
17857,excel
18499,excel
19186,excel
19513,excel
19722,excel
19728,excel
20023,excel
20036,excel
20342,excel
20482,excel
20483,excel
20598,excel
20636,excel
21201,excel
21656,excel
21786,excel
21821,excel
22068,excel
22089,excel
22174,excel
22318,excel
22871,excel
22974,excel
23622,excel
23633,excel
23635,excel
23649,excel
23672,excel
23809,excel
23843,excel
24036,excel
24557,excel
24600,excel
24736,excel
24822,excel
25048,excel
25098,excel
25218,excel
25402,excel
25418,excel
25611,excel
25675,excel
25850,excel
25854,excel
26219,excel
26223,excel
26245,excel
26407,excel
26490,excel
26517,excel
26645,excel
26716,excel
26840,excel
27386,excel
27505,excel
27574,excel
28132,excel
28371,excel
28577,excel
28765,excel
28787,excel
28886,excel
28930,excel
29003,excel
29057,excel
29075,excel
29134,excel
29204,excel
29224,excel
29320,excel
29343,excel
29530,excel
29838,excel
29888,excel
30543,excel
30848,excel
30857,excel
30905,excel
30911,excel
30932,excel
30967,excel
31097,excel
31302,excel
31316,excel
31317,excel
31382,excel
31397,excel
31621,excel
31798,excel
32441,excel
32657,excel
33340,excel
33594,excel
33696,excel
33849,excel
33878,excel
33884,excel
33902,excel
33911,excel
34764,excel
35456,excel
35827,excel
36933,excel
36991,excel
37456,excel
37700,excel
37773,excel
37778,excel
37801,excel
38102,excel
38269,excel
38792,excel
38932,excel
39222,excel
39240,excel
39387,excel
40038,excel
40735,excel
41375,excel
41584,excel
42654,excel
42760,excel
42937,excel
45410,excel
45434,excel
46189,excel
46191,excel
47851,excel
48143,excel
48172,excel
48256,excel
48309,excel
48328,excel
48465,excel
48535,excel
48824,excel
49475,excel
49531,excel
49544,excel
49706,excel
50463,excel
50543,excel
50605,excel
50693,excel
50707,excel
50831,excel
50874,excel
50975,excel
51744,excel
52035,excel
52059,excel
54312,excel
55848,excel
56787,excel
57575,excel
57803,excel
57830,excel
59926,excel
60359,excel
60484,excel
60566,excel
60675,excel
60788,excel
60885,excel
60973,excel
61043,excel
61501,excel
61746,excel
62359,excel
62673,excel
